ID,Thought,Distortion,Distortion_ID
1,The voice are always fimilar (someone she knows) Im very concerned about this and hope it has nothing to do with my pregnancy while on active duty.,Personalizing,8
2,I feel trapped inside my disgusting self and like I’m willing to do anything to escape it.I’m just afraid sometimes that since I’m not really thinking during these times that I might do something to myself–especially since I think during these times that I don’t deserve to get help or that I’m not worth disturbing people by calling them.,Labeling,3
3,"I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist.I have a major fear of choking and drowningIt seems like everytime I get so close of beating in, I get nocked right back down to the bottom.",Fortune Telling,4
4,"I felt like the response was totally irrational, mean and disrespectful. I felt extremely hurt.",Catastrophizing,10
5,"I thought that he displayed traits of honor, loyalty, integrity, honesty, and kind-heartedness, as well as characteristics of a hard worker, and an overall well-rounded individual.",Labeling,3
6,I attributed his behavior to stress – he owned a business that has since failed,Mind Reading,5
7,"I had to call off work Friday because I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do.",Fortune Telling,4
8,"I decided I wasn‚t going to join him again due to the uneasy feeling it gave me which kept me from enjoying myself. Ever since, I have known in the back of my mind that he still does this. believing that it helps keep him „faithful‰ to me since I am no longer interested.",Personalizing,8
9,"I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did, or if she really didn’t have full on sex with him.",Mind Reading,5
10,But recently I started thinking about it more and I realized those vague memories were kind of all I had now.,All-or-Nothing Thinking,1
11,"I feel like he has split personalities. Many times he doesn’t remember tasks he completed days ago. We are at a stressful time in our relationship which includes the 6 month old baby. We used to be best friends and still today sometimes we enjoy time shared with the baby, but I see more and more he has no idea of what I’m referring to because he asks, “huh?” all the time. There has been lingering problems. I really don’t understand any of this and I’m falling deeply into depression myself that along with the baby weight I can’t shed. If I ask him for the truth he will simply look me in the face and tell another lie. {I can’t bear it, seriously.} ",Mind Reading,5
12,During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business.,Fortune Telling,4
13,"Why can she look like that but I have to work to keep myself healthy? Why are such high expectations put on me that she doesn’t live up to? She is my biggest role model, and all I can think of at this moment is starving myself until I look like her.But when she’s not…my motivation goes away and I want to restrict.",Catastrophizing,10
14,"I am highly disorganized, I’m concerned with being diagnosed with schizophrenia or something like that",Labeling,3
15,I was a very difficult child to raise. There was constant fighting between myself and my parents.I couldn’t talk to anyone because I had no trust in adults.,Overgeneralizing,2
16,"When someone tries to talk to me, I get so nervous about what they think of me that I end up seeming uninterested or maybe even snobby, probably. Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone in whispering to another person, I pretty much assume that they are talking badly about me, and I panick.At school, I get so caught up worrying if I smell bad or If my makeup is smeared I immagine everyone is looking at me funny.Im always thinking that people think im a loser, and I wont leave the house without makeup, because i am horrified about what other people think about me.",Mind Reading,5
17,"everything was perfect and I trusted him whole-heartedly. Up until recently I’ve been very suspicious and my trust just keeps going down. I started to lose trust when finding a text message in his phone from someone calling him “babe” on Valentines Day. He said it was nothing like that, and I asked to see the rest of the messages from that person but he said no because he thought that would change the dynamics of our relationship and that I am supposed to just trust him, so I let it go. Ever since that occasion it’s been so hard for me to trust him like I did in the beginning. But I almost feel like I’m convincing myself because I just have this feeling inside. Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?",Disqualifying the Positive,9
18,"But sometimes I can’t help what I say to my parents. If they’re in my face yelling about what I just said or how I forgot to do something, how can I not yell back? My parents say its disrespect, but I feel that they have no respect for me when they’re yelling in my face.But to avoid these confrontations I feel the only way to do this is to COMPLETELY IGNORE my whole family. I’ve been doing this by sleeping all day and my schoolwork is suffering, I also barely eat because of sleeping all day. But these arguments always seem to find their way into my life.",Emotional Reasoning,6
19,"Then, I decided to become vegetarian and anorexic. To tell you the truth, I wasn’t a complete vegan at first. I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup. In seventh grade, I became full-fledged vege, and continued to have problems. In eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.",All-or-Nothing Thinking,1
20,"We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship",Labeling,3
21,"The trip sucked he wasn’t interested in me based on his saying, attitude and he stated drinkingI want to believe him but I have a feeling I will have to take him to small claims court for this.",Fortune Telling,4
22,"The same goes for my life – I just can’t seem to get anything started: Job applications, writing routines, relationships with the opposite sex, you name it.",Overgeneralizing,2
23,My fiance is close with his mother and I don’t know how to tell him I am uncomfortable with this situation without offending him and his mother. His mother has been known to hold grudges and I don’t want to get on her bad side before I marry her son,Mind Reading,5
24,my brother always gets everything he goes and sees my dad and gets £30 or more of him every time he gets money for stuff as well everyday and when I go and see my dad all i get is a £5. My brother also got a xbox connect of my dad. I asked my dad for a xbox 360 and he said he has no money but he always gets my brother stuff and when my brother comes home he brags about it and I’m getting fed up of it. My birthday comes and all he gets me is a little ornament I don’t want to seem ungrateful its just he treats my brother different to me he should treat us both the same but he don’t. I think its favouritism.,Overgeneralizing,2
25,I always feel like people talk about me and hav had suicidal thouts before.,Mind Reading,5
26,I have grown very much but he has not. He will not deal with any issues between us. He is really immature. He never accepts responsibility for his part in any problem. (Everything is always my fault according to him.),Labeling,3
27,"He’s never cheated, lied, or anything remotely close to that. He’s always been honest with me and never fails to be affectionate and tell me how much he cares about me. But I can’t trust him. And I get extremely bad separation anxiety when I’m not with him. I always want to try and control him, who he’s with, where he goes, what he’s doing, and I never want him to do anything if I’m not involved. And it’s starting to ruin our relationship.",Emotional Reasoning,6
28,Also I feel like I am lonely at my house.So I don’t know if I am the reason that I cause it because we are different.,Personalizing,8
29,and there have been times where i figured why should i even live that nothing i ever do is good enough. i mostly feel like a failure sometimes.,All-or-Nothing Thinking,1
30,I know your advice is to be the bigger person.,Mind Reading,5
31,"I have realized that the major internal problem I have is that I lack an identity, lack interests, lack emotions, and therefore have trouble with social interaction. I am hopelessly apathetic at heart, and I don’t know how to reconcile the true ‘me’ with the image others expect–that of a ‘normal’ person who has passions and desires. I care about nothing–not politics or current events, not my friends or family or other people, not sports or music or art. Outwardly, I am a high-achieving, well-rounded student.Occasionally a particularly poignant tragedy or example will make feel like helping out, but on the whole, I am completely apathetic. The same goes for the social aspects of my life. My childhood, family, and friendships were and are normal, but I do not have emotional connections to anyone; if somebody ‘close’ to me died, I would only be concerned with how it would affect my own convenience. I don’t have any academic, athletic, or arts-related interests either, and I do not believe the problem is lack of exposure.",Labeling,3
32,I want to know if our family unit is savable would therapy help what should I do. I don’t want to be a bad mother and I don’t want to lose my family.,Fortune Telling,4
33,"Any time that we try to resolve an issue, she blows up uses the F-word, tells me she doesn’t care about me, and doesn’t want to be in the same room with me. We are talking screaming here.I have not been perfect, but I always own up to my mistakes and apologize",Overgeneralizing,2
34,"In the past few years, I haven’t been getting much out of life. I don’t feel anything like I used to. Anger, happiness, joy, and even sadness seem to have left me. Things that used to give me emotional pleasure now just seem to entertain and occupy my mind. I don’t have ups and downs like teenagers are supposed to everything just seems kind of flat with a few dips. Things don’t feel very “real” anymore, the real world feels dreamy and I am constantly withdrawn.",Emotional Reasoning,6
35,"Medication resistant, i have tried them all. I have tried all the medications out there for depression and bipolarI don’t know how to find the best dr for this and am afraid of cognitive loss, memory loss. ",Fortune Telling,4
36,"I feel nothing on a regular basis. For example if I got a call saying that my mother died, I don’t think I would even cry.I want to ask my parents, or anyone for help, but I’m afraid of being laughed at.I observe everyone’s actions with relationships and reasoning and feel like everyone is, for lack of a better term, retarded.For example, if I call a friend and they don’t answer I immediately think they are ignoring me and go into a downward spiral of depression until I hear back from them.",Mind Reading,5
37,"Last year, because of a stupid mistake i made, i had a huge falling out with some of my best friends and the rest of them had betrayed me.",Overgeneralizing,2
38,We would fight almost everyday and he would always lie to me and never gave me the love and support that I really needed. It even got to the point where I would have to ask him to show me that he loves me and appreciates me and all the stuff that a boyfriend should already do for his girlfriend.,Overgeneralizing,2
39,"I seem to have different people who live inside me. Unlike what I know about DID, though, we all know about each other. We don’t always but occasionally we do talk to each other. I might comfort the child that is sad or the watchful one might tell me their impression of someone. We don’t forget what’s going on when one of the others is controlling the body.",Emotional Reasoning,6
40,"This year i’m not takking any anti-depressants because they never really helped. I have only a few exams left and then my master’s thesis, but i can’t do anything. i escape into fantasy and SF films and novels- the only thing that shuts me and the world out for some time.",Disqualifying the Positive,9
41,"im sure she has a disorder of some sort….she lies constantly, tells the same story 3 times during a week, but its always changing….I am now afraid of this woman because last week, while trying to calm her, I took the blame for everything…admitted I was wrong etc, and have cut her off…..im sure she has another man in the picture, coaching her along on how to set me up",Labeling,3
42,It dosent go away.. and when I am having fun an trying not to think about it.. its always in the back of my mind that I am a schizo and that everything is crazy.,Fortune Telling,4
43,"he used to be loving, & caring, now he is unsociable, & uncaring. He has no remorse.He is depressed.",Labeling,3
44,"But since I started to study this all people keep asking me why I’m not studying medicine and they feel sorry about me, now I can change my major to dentistry and I’m thinking about attending it because anyway it’s higher than my current major, simply I can just throw off all the people’s talking about me if I do that, actually I’m more interested in practical studying offered in dentistry but I will lose a semester and I will be late, actually I don’t know what I want!",Mind Reading,5
45,When we first got together our relationship was perfect. We had been friends for awhile and decided to take it to the next level. He was attentive and loving and made me feel special.,Labeling,3
46,"Just when I thought I’ve won the seemingly endless battle against my OCD by triumphing over my eating disorder (anorexia, to be specific), common symptoms (checking the switches countless times, washing my hands forever, hoarding) and gotten a hold over my rampaging thoughts, I had a severe panic attack a few days ago.",All-or-Nothing Thinking,1
47,"I have never dated a man who didn’t lie or cheat or do something else bad to me.But I guess I’ve been hurt so badly,I’m taking everything out on him,which I know is not fair. He’s broken up with me on numerous ocassions because he can’t handle my always acussing him of things I have.",Overgeneralizing,2
